epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,452.556,0.68037,0.78305,1.15251,0.7121,0.6,0.7132,0.54138,0.91123,2.32683,1.74448,0.00099314,0.00099314,0.00099314
44,462.842,0.59616,0.83409,1.09131,0.53938,0.85,0.59022,0.33923,1.47901,2.84735,2.24133,0.000999282,0.000999282,0.000999282
45,472.763,0.61656,1.02836,1.17637,0.53938,0.85,0.59022,0.33923,1.47901,2.84735,2.24133,0.00100463,0.00100463,0.00100463
46,482.782,0.51285,0.72119,1.05553,0.78877,0.934,0.90304,0.31701,1.65827,3.13462,2.22243,0.00100919,0.00100919,0.00100919
47,492.724,0.64735,0.90797,1.1848,0.78877,0.934,0.90304,0.31701,1.65827,3.13462,2.22243,0.00101296,0.00101296,0.00101296
48,503.703,0.57066,0.77863,1.08575,0.9836,1,0.995,0.7438,0.7911,1.73858,1.56085,0.00101593,0.00101593,0.00101593
49,513.846,0.49587,0.712,1.09212,0.9836,1,0.995,0.7438,0.7911,1.73858,1.56085,0.00101811,0.00101811,0.00101811
50,523.992,0.63511,0.76136,1.1713,0.90577,1,0.98795,0.81799,0.6762,1.45507,1.43877,0.0010195,0.0010195,0.0010195
51,534.577,0.50466,0.72747,1.06823,0.90577,1,0.98795,0.81799,0.6762,1.45507,1.43877,0.00101,0.00101,0.00101
52,544.488,0.63641,0.70337,1.13628,0.86871,0.99276,0.96303,0.79668,0.59451,1.51919,1.26855,0.0009902,0.0009902,0.0009902
53,554.435,0.46712,0.69116,1.05446,0.86871,0.99276,0.96303,0.79668,0.59451,1.51919,1.26855,0.0009704,0.0009704,0.0009704
54,564.498,0.59549,0.67658,1.03282,0.76311,1,0.90659,0.70621,0.67788,1.72071,1.29834,0.0009506,0.0009506,0.0009506
55,574.413,0.4938,0.77401,1.02662,0.76311,1,0.90659,0.70621,0.67788,1.72071,1.29834,0.0009308,0.0009308,0.0009308
56,584.521,0.48712,0.83434,1.05101,0.75129,0.95,0.89862,0.66205,0.8265,1.72438,1.45425,0.000911,0.000911,0.000911
57,595.396,0.52313,0.69105,1.04594,0.75129,0.95,0.89862,0.66205,0.8265,1.72438,1.45425,0.0008912,0.0008912,0.0008912
58,605.778,0.51715,0.65515,1.05979,0.91111,1,0.98071,0.78509,0.70213,1.49372,1.33014,0.0008714,0.0008714,0.0008714
59,616.183,0.49445,0.61891,1.03112,0.91111,1,0.98071,0.78509,0.70213,1.49372,1.33014,0.0008516,0.0008516,0.0008516
60,627.259,0.47797,0.58336,1.04031,0.93588,1,0.99024,0.85068,0.59837,1.34182,1.27177,0.0008318,0.0008318,0.0008318
61,637.786,0.54655,0.71648,1.14081,0.93588,1,0.99024,0.85068,0.59837,1.34182,1.27177,0.000812,0.000812,0.000812
62,648.139,0.52095,0.68436,1.06216,0.95141,0.97962,0.97595,0.81579,0.54745,1.46978,1.23488,0.0007922,0.0007922,0.0007922
63,658.655,0.52756,0.69551,1.11432,0.95141,0.97962,0.97595,0.81579,0.54745,1.46978,1.23488,0.0007724,0.0007724,0.0007724
64,669.343,0.61908,0.73388,1.08963,0.90753,0.98194,0.98065,0.8717,0.48046,1.42765,1.16693,0.0007526,0.0007526,0.0007526
65,679.344,0.44899,0.5953,1.033,0.90753,0.98194,0.98065,0.8717,0.48046,1.42765,1.16693,0.0007328,0.0007328,0.0007328
66,689.405,0.52031,0.66903,1.1296,0.70371,1,0.91172,0.84949,0.47866,1.48457,1.14122,0.000713,0.000713,0.000713
